3903500 	 15138 , 27609 , 28605 , 9633 , 9563 , 13888 , 24274 , 17647 , 16540 , 14261 , 15019 , 15514 
4133750 	 16463 , 25372 
9352750 	 6548 , 18075 
1206500 	 5962 
7269750 	 19475 , 20270 , 1438 , 20902 
6272000 	 12055 , 2803 , 6080 
439000 	 25415 , 16821 , 24060 , 3362 , 6104 , 2198 
746000 	 7105 , 21865 , 155 , 3032 
2807500 	 29203 , 10593 , 19149 , 9916 , 12512 , 27942 , 16463 , 25887 , 19021 , 27117 , 1015 , 10014 
965500 	 8257 
3344750 	 6740 , 14533 , 28524 , 28463 , 7542 , 3313 , 26614 
2182750 	 18758 , 16373 , 16974 , 8389 , 18808 
9079500 	 21071 , 25272 
1240250 	 26288 , 7408 , 20297 , 18392 
3849750 	 23738 , 9549 
6766250 	 12285 , 22218 
1086750 	 22400 , 18977 , 7611 , 15721 , 1084 , 7868 
12204750 	 15019 , 7963 
4376250 	 8689 , 2233 , 19993 , 21225 
3751500 	 28411 , 23284 , 10193 , 20300 
7435500 	 14261 , 7975 
3981750 	 18024 , 27407 , 27791 , 22280 , 23143 
835000 	 14048 , 16722 , 5845 , 19632 
11503250 	 10694 
9716500 	 11465 , 6771 , 5856 
3719250 	 4960 
9782500 	 14261 , 25027 , 6352 
4256500 	 4694 , 23515 , 2410 
8170750 	 10207 
7699500 	 21672 , 14261 , 9802 , 18730 , 13592 , 23698 
10539250 	 1461 
8149250 	 11679 , 4949 , 10176 
2316250 	 10948 , 10329 , 9657 , 15065 , 18180 , 6621 , 26288 
11131750 	 14482 , 29472 
11362000 	 8693 
3226500 	 18741 , 23863 , 16474 , 14071 , 7868 , 12394 , 8689 , 13701 , 6548 , 5185 , 29473 , 2927 , 6621 
4454500 	 15019 , 28653 , 21071 , 25830 , 2655 , 28631 , 22667 , 27974 , 23071 , 27117 
8215250 	 24628 
145750 	 11578 , 24242 
452750 	 24392 , 14796 , 19973 
2448250 	 24669 , 12541 
3895750 	 12933 , 12475 
5354000 	 20180 , 21078 , 12828 , 14960 , 10014 
1966250 	 9195 , 29099 , 26722 , 25260 
8622000 	 14976 , 10810 
7854500 	 4949 , 7552 , 527 , 14902 , 530 , 8278 
6155250 	 18180 , 3151 , 7542 , 9290 , 6199 , 22530 , 4220 , 27653 , 1773 , 29203 
10069500 	 7868 , 8637 , 4571 , 10740 , 21838 , 19973 
6067750 	 23698 
11747250 	 155 , 16918 , 18730 , 14261 , 15019 
8216750 	 12017 
8129250 	 27906 , 26971 , 16323 , 25733 
4259500 	 15019 , 11018 , 9111 , 12541 , 11176 
805750 	 28465 , 18024 , 17661 
38250 	 14318 , 28924 , 10051 , 28719 , 14265 , 11176 , 18730 
2253250 	 28975 , 527 
10915250 	 18075 
3010000 	 13975 , 4220 
4852000 	 9489 , 10373 
1530250 	 14120 
4063000 	 19974 
5751500 	 11679 , 6199 , 284 , 15086 , 24869 
4118250 	 16399 , 21567 , 27272 
1815750 	 29213 , 22359 
10642000 	 2655 , 28149 , 20896 , 7567 , 8637 , 25090 , 2043 , 18024 , 6219 , 18868 , 2513 , 251 , 9782 , 16754 , 11176 , 3627 , 25570 
4184250 	 3619 , 15019 , 9936 , 26665 , 14014 , 4949 , 241 , 8689 
39750 	 4896 , 27817 
3723750 	 4078 , 5598 
7320250 	 26728 
5226500 	 3627 
621500 	 16009 , 10102 , 28924 , 19973 , 2683 
10818500 	 6303 , 23779 
6433000 	 17087 
1904750 	 22484 , 26860 , 2945 , 9138 , 14120 , 4648 , 11324 , 23928 , 27314 
3363000 	 10680 
4503500 	 11936 
6247250 	 16540 , 10096 , 17245 , 2227 , 14261 
2870250 	 17606 , 4003 , 14020 
4712250 	 18388 
1324500 	 7868 , 8028 , 18632 , 23603 , 19862 , 19828 , 14482 , 2198 
11137750 	 2227 , 14373 , 22027 , 10329 , 25360 , 6104 , 21841 , 4226 , 5832 , 934 , 24669 , 12068 , 24869 
4921000 	 27179 , 2043 , 14493 , 672 , 4731 , 3032 , 14048 
239250 	 3619 , 26608 , 15086 , 530 , 28481 
5754500 	 28752 , 3228 , 15019 , 23214 
11894500 	 14020 , 7856 , 26619 
8353250 	 16331 , 7230 
371250 	 21110 
8430000 	 8637 , 7354 
4658500 	 18075 , 10948 , 11330 , 21110 , 21838 
11949750 	 6571 , 13554 , 2963 , 2198 
11939000 	 2176 , 22317 , 21567 , 8278 , 12068 , 26326 , 20827 , 20297 , 6771 , 10726 , 21672 
6172000 	 6880 
405000 	 2846 
3310750 	 5640 , 14020 , 25086 , 23774 , 11176 
8529750 	 10136 , 22179 , 22583 
11896000 	 27520 , 2227 , 16564 , 12068 , 19166 
11972750 	 7071 , 954 
2752000 	 26728 , 27906 , 14261 , 14074 , 12243 , 3032 , 3313 , 5043 
745750 	 11679 , 16540 , 21071 , 24869 , 7230 
4035250 	 17647 , 27906 
1579250 	 4078 , 25424 , 16540 , 7552 
417250 	 1253 , 3068 , 12068 , 21838 
7785250 	 14588 , 11790 
11535250 	 16463 
5011500 	 22489 , 1756 , 21847 , 643 , 23779 , 28098 , 28937 , 2043 , 27407 , 6219 , 23895 , 1446 , 2963 , 14665 , 20180 , 25651 , 22280 , 27092 
4770500 	 14020 , 2610 , 12220 , 27625 , 22499 , 28975 , 24869 , 18075 
